question,context,answer
set the  MAC table aging timer to 400 second,set ethernet-switching-options mac-table-aging-time <interval>,"Use the following command in the configuration mode:
set ethernet-switching-options mac-table-aging-time 400
commit"
set the  MAC table aging timer to 500 second,set ethernet-switching-options mac-table-aging-time <interval>,"Use the following command in the configuration mode:
set ethernet-switching-options mac-table-aging-time 500
commit"
how to set the  MAC table aging timer,set ethernet-switching-options mac-table-aging-time <interval>,"Use the following command in the configuration mode:
set ethernet-switching-options mac-table-aging-time <interval>
commit"
set the aging timer of the mac table entries to 500 second,set ethernet-switching-options mac-table-aging-time <interval>,"Use the following command in the configuration mode:
set ethernet-switching-options mac-table-aging-time 500
commit"
set a mac limit of 2 on interface ge-0/0/7,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <mac-limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/7 mac-limit 2
commit"
how to set a mac limit on an interface,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <mac-limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <mac-limit
ncommit"
delete the mac limit on interface ge-0/0/4,delete ethernet-switching-options secure-access-port interface <interface-name> mac-limit,"Use the following command in the configuration mode:
delete ethernet-switching-options secure-access-port interface ge-0/0/4 mac-limit
commit"
set a mac limit of 10 on interface ge-0/0/8,set ethernet-switching-options secure-access-port interface <interface-name> mac-limit <mac-limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/8 mac-limit 10
commit"
set a mac limit of 1 on all interfaces,set ethernet-switching-options secure-access-port interface all mac-limit <mac-limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit 1
commit"
how to set a mac limiton all interfaces,set ethernet-switching-options secure-access-port interface all mac-limit <mac-limit>,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit <mac-limit>
commit"
delete the mac limit on all interfaces,delete ethernet-switching-options secure-access-port interface all mac-limit,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit
commit"
Limit the number of connected devices to one on each interface on the EX3300 switch,"set ethernet-switching-options secure-access-port interface all mac-limit <mac-limit>
commit","Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface all mac-limit 1
 commit"
how to set a list of allowed Mac addresses on a specific interface,set ethernet-switching-options secure-access-port interface interface-name allowed-mac <mac-address>,"Use the following command in the configuration:
set ethernet-switching-options secure-access-port interface interface-name allowed-mac <mac-address>
commit"
how to set a mac limit on interface range,"set ethernet-switching-options secure-access-port interface <range-name> mac-limit <mac-limit>
 commit","Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface <range-name> mac-limit <mac-limit>
commit"
Clear all MAC address entries in the forwarding table,clear ethernet-switching-table,"Use the following command in the operational mode:
clear ethernet-switching-table"
Clear all MAC address entries in the ethernet switching table,clear ethernet-switching-table,"Use the following command in the operational mode:
clear ethernet-switching-table"
Clear port errors on the switch, clear ethernet-switching port-error," Use the following command in the operational mode:
clear ethernet-switching port-error"
Clear a bridge protocol data unit (BPDU) error condition,clear ethernet-switching bpdu-error,"Use the following command in the operational mode:
clear ethernet-switching bpdu-error"
clear bpdu errors,clear ethernet-switching bpdu-error,"Use the following command in the operational mode:
clear ethernet-switching bpdu-error"
Clear bpdu errors on interface ge-0/0/8,clear ethernet-switching bpdu-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching bpdu-error interface ge-0/0/8"
how to clear bpdu errors on a specific interface,clear ethernet-switching bpdu-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching bpdu-error interface <interface-name>"
clear port errors on the interface ge-0/0/9,clear ethernet-switching port-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching port-error interface ge-0/0/9"
clear port errors on specific interface,clear ethernet-switching port-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching port-error interface <interface-name>"
how to clear port errors on specific interface,clear ethernet-switching port-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching port-error interface <interface-name>"
restore the interfaces blocked due to storm control violation,clear ethernet-switching port-error,"Use the following command in the operational mode:
clear ethernet-switching port-error"
restore the operation on interface ge-0/0/8,clear ethernet-switching port-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching port-error interface ge-0/0/8"
manually clear storm control violation on interface ge-0/0/12,clear ethernet-switching port-error interface <interface-name>,"Use the following command in the operational mode:
clear ethernet-switching port-error interface ge-0/0/12"
How to configure preprovisioned virtual-chassis for ex3300 switches,"set virtual-chassis preprovisioned
set virtual-chassis member <member-id> serial-number <serial-number> role routing-engine
set virtual-chassis member <member-id> serial-number <serial-number> role line-card","Use the following command in the configuration mode:
set virtual-chassis preprovisioned
set virtual-chassis member <member-id> serial-number <serial-number> role routing-engine
set virtual-chassis member <member-id> serial-number <serial-number> role line-card
commit"
configure the virtual chassis member 0  with serial number GA021534033 in the role routing enginer,set virtual-chassis member <member-id> serial-number <serial-number> role routing-engine,"Use the following command in the configuration mode:
set virtual-chassis member 0 serial-number GA021534033 role routing-engine
commit"
how to add a virtual chassis member as a routing engine role,set virtual-chassis member <member-id> serial-number <serial-number> role routing-engine,"Use the following command in the configuration mode:
set virtual-chassis member <member-id> serial-number <serial-number> role routing-engine
commit"
configure the virtual chassis member 1  with serial number GA021524033 in the role routing enginer,set virtual-chassis member <member-id> serial-number <serial-number> role routing-engine,"Use the following command in the configuration mode:
set virtual-chassis member 1 serial-number GA021524033 role routing-engine
commit"
configure the virtual chassis with the member id 3  and serial number GA022534033 in the role line-card ,set virtual-chassis member <member-id> serial-number <serial-number> role line-card,"Use the following command in the configuration mode:
set virtual-chassis member 3 serial-number GA022534033 role line-card
commit"
how to configure a virtual chassis with the member in the role line-card ,set virtual-chassis member <member-id> serial-number <serial-number> role line-card,"Use the following command in the configuration mode:
set virtual-chassis member <member-id> serial-number <serial-number> role line-card
commit"
configure the virtual chassis member with id 4 and serial number GA222534033 as a line card,set virtual-chassis member <member-id> serial-number <serial-number> role line-card,"Use the following command in the configuration mode:
set virtual-chassis member 4 serial-number GA222534033 role line-card
commit"
delete the virtual chassis member with the id 7 ,delete virtual-chassis member <member-id>,"Use the following command in the configuration mode:
delete virtual-chassis member 7
commit"
how to delete a virtual chassis member of specific id,delete virtual-chassis member <member-id>,"Use the following command in the configuration mode:
delete virtual-chassis member <member-id>
commit"
delete the virtual chassis member 5 ,delete virtual-chassis member <member-id>,"Use the following command in the configuration mode:
delete virtual-chassis member 5
commit"
disable the virtual chassis split and merge feature,set virtual-chassis no-split-detection,"Use the following command in the configuration mode:
set virtual-chassis no-split-detection
commit"
set the virtual chassis no split detection feature,set virtual-chassis no-split-detection,"Use the following command in the configuration mode:
set virtual-chassis no-split-detection
commit"
set the virtual-chassis to only accept preprovisioned members,set virtual-chassis preprovisioned,"Use the following command in the configuration mode:
set virtual-chassis preprovisioned
commit"
enable the virtual chassis preprovisioned mode,set virtual-chassis preprovisioned,"Use the following command in the configuration mode:
set virtual-chassis preprovisioned
commit"
Disable automatic Virtual Chassis port (VCP) conversion in a Virtual Chassis,set virtual-chassis no-auto-conversion,"Use the following command in the configuration mode:
set virtual-chassis no-auto-conversion
commit"
Disable automatic virtual chassis VC port conversion,set virtual-chassis no-auto-conversion,"Use the following command in the configuration mode:
set virtual-chassis no-auto-conversion
commit"
Enable automatic Virtual Chassis port (VCP) conversion,set virtual-chassis auto-conversion,"Use the following command in the configuration mode:
set virtual-chassis auto-conversion
commit"
Enable automatic VC port conversion in virtual-chassis,set virtual-chassis auto-conversion,"Use the following command in the configuration mode:
set virtual-chassis auto-conversion
commit"
Enable Fast failover on GE VC uplink ports,set virtual-chassis fast-failover ge,"Use the following command in the configuration mode:
set virtual-chassis fast-failover ge
commit"
Enable Fast failover on GE virtual chassis uplink ports,set virtual-chassis fast-failover ge,"Use the following command in the configuration mode:
set virtual-chassis fast-failover ge
commit"
set the virtual chassis Fast failover for GE VC uplink ports,set virtual-chassis fast-failover ge,"Use the following command in the configuration mode:
set virtual-chassis fast-failover ge
commit"
disable the virtual chassis Fast failover for GE VC uplink ports,delete virtual-chassis fast-failover ge,"Use the following command in the configuration mode:
delete virtual-chassis fast-failover ge
commit"
Enable Fast failover on XE VC uplink ports,set virtual-chassis fast-failover xe,"Use the following command in the configuration mode:
set virtual-chassis fast-failover xe
commit"
Enable virtual chassis fast failover on XE VC uplink ports,set virtual-chassis fast-failover xe,"Use the following command in the configuration mode:
set virtual-chassis fast-failover xe
commit"
set the  Fast failover for XE VC uplink ports,set virtual-chassis fast-failover xe,"Use the following command in the configuration mode:
set virtual-chassis fast-failover xe
commit"
disable the virtual chassis fast failover for XE VC uplink ports,delete virtual-chassis fast-failover xe,"Use the following command in the configuration mode:
delete virtual-chassis fast-failover xe
commit"
delete the virtual chassis fast failover for XE VC uplink ports,delete virtual-chassis fast-failover xe,"Use the following command in the configuration mode:
delete virtual-chassis fast-failover xe
commit"
Enable Fast failover on ET VC uplink ports,set virtual-chassis fast-failover et,"Use the following command in the configuration mode:
set virtual-chassis fast-failover et
commit"
set the virtual chassis fast failover for ET VC uplink ports,set virtual-chassis fast-failover et,"Use the following command in the configuration mode:
set virtual-chassis fast-failover et
commit"
delete the virtual chassis Fast failover for ET VC uplink ports,delete virtual-chassis fast-failover et,"Use the following command in the configuration mode:
delete virtual-chassis fast-failover et
commit"
remove the virtual chassis Fast failover for ET VC uplink ports,delete virtual-chassis fast-failover et,"Use the following command in the configuration mode:
delete virtual-chassis fast-failover et
commit"
show the virtual chassis fast failover status,show virtual-chassis fast-failover,"Use the following command in the opertional mode:
show virtual-chassis fast-failover"
Display Virtual chassis active topology,show virtual-chassis active-topology,"Use the following command in the opertional mode:
show virtual-chassis active-topology"
Display Virtual chassis PFE device topology ,show virtual-chassis device-topology,"Use the following command in the opertional mode:
show virtual-chassis device-topology"
show Virtual chassis packet forwarding engine device topology ,show virtual-chassis device-topology,"Use the following command in the opertional mode:
show virtual-chassis device-topology"
show Virtual chassis device topology ,show virtual-chassis device-topology,"Use the following command in the opertional mode:
show virtual-chassis device-topology"
show Virtual chassis status information,show virtual-chassis status,"Use the following command in the opertional mode:
show virtual-chassis status"
show Virtual chassis status information,show virtual-chassis status,"Use the following command in the opertional mode:
show virtual-chassis status"
display the Virtual chassis status information,show virtual-chassis status,"Use the following command in the opertional mode:
show virtual-chassis status"
Get routing table from local virtual chassis member,show virtual-chassis protocol route local,"Use the following command in the opertional mode:
show virtual-chassis protocol route local"
show the virtual chassis routing table from local member,show virtual-chassis protocol route local,"Use the following command in the opertional mode:
show virtual-chassis protocol route local"
Display the virtual chassis protocol interface information,show virtual-chassis protocol interface,"Use the following command in the opertional mode:
show virtual-chassis protocol interface"
Show the virtual chassis protocol interface information,show virtual-chassis protocol interface,"Use the following command in the opertional mode:
show virtual-chassis protocol interface"
Show the virtual chassis routing table,show virtual-chassis protocol route,"Use the following command in the opertional mode:
show virtual-chassis protocol route"
How to configure a static route,set routing-options static route <network-address/subnet-mask> next-hop <next-hop-ip-address>,"Use the following command in the configuration mode:
set routing-options static route <network-address/subnet-mask> next-hop <next-hop>
commit"
Configure a static route to network 192.168.100.0/24 with the next hop 192.168.100.1,set routing-options static route <network-address/subnet-mask> next-hop <next-hop-ip-address>,"Use the following command in the configuration mode:
set routing-options static route 192.168.100.0/24 next-hop 192.168.100.1
commit"
Configure a static route to network 10.168.100.0/24 with the next hop 10.168.100.1,set routing-options static route <network-address/subnet-mask> next-hop <next-hop-ip-address>,"Use the following command in the configuration mode:
set routing-options static route 10.168.100.0/24 next-hop 10.168.100.1
commit"
set up a static route to network 10.16.10.0/24 with the next hop 10.16.10.1,set routing-options static route <network-address/subnet-mask> next-hop <next-hop-ip-address>,"Use the following command in the configuration mode:
set routing-options static route 10.16.10.0/24 next-hop 10.16.10.1
commit"
assign interface ge-0/0/0 the following IP address 192.168.1.2/24,set interfaces <interface-name> unit <unit-number> family inet address <ip-address/subnet-mask>,"Use the following command in the configuration mode:
set interfaces ge-0/0/0 unit 0 family inet address 192.168.1.2/24
commit"
set the ip address 192.168.100.3/24 to the interface ge-0/0/1,set interfaces <interface-name> unit <unit-number> family inet address <ip-address/subnet-mask>,"Use the following command in the configuration mode:
set interfaces ge-0/0/1 unit 0 family inet address  192.168.100.3/24
commit"
how to set IP address to an interface in Juniper ex3300,set interfaces <interface-name> unit <unit-number> family inet address <ip-address/subnet-mask>,"Use the following command in the configuration mode:
set interfaces <interface-name> unit <unit-number> family inet address <ip-address/subnet-mask>
commit"
"set the following description ""Uplink to Lab 2"" on interface ge-0/0/10","set interfaces <interface-name> unit <unit-number> description ""DESCRIPTION""","Use the following command in the configuration mode:
set interfaces ge-0/0/10 unit 0 description ""Uplink to Lab 2""
commit"
"set the following description ""Printer"" on interface ge-1/0/10","set interfaces <interface-name> unit <unit-number> description ""DESCRIPTION""","Use the following command in the configuration mode:
set interfaces ge-1/0/10 unit 0 description Printer
commit"
how to set a description to  an interface,"set interfaces <interface-name> unit <unit-number> description <Description>
 commit","Use the following command in the configuration mode:
set interfaces <interface-name> unit <unit-number> description <Description>
commit"
display the ethernet switching table,show ethernet-switching table,"Use the following command in the operational mode:
show ethernet-switching table"
display MAC address information of the switch ports,show ethernet-switching table,"Use the following command in the operational mode:
show ethernet-switching table"
show the mac information of the interface ge-0/0/2,show ethernet-switching table interface <interface-name>,"Use the following command in the operational mode:
show ethernet-switching table interface ge-0/0/2"
how to show the mac information of an interface,show ethernet-switching table interface <interface-name>,"Use the following command in the operational mode:
show ethernet-switching table interface <interface-name>"
Determine the interface to which the MAC address 00:19:99:93:93:3a is connected,show ethernet-switching table | match <mac-address>,"Use the following command in the operational mode:
show ethernet-switching table | match 00:19:99:93:93:3a"
Find the interface to which the MAC address ac:b9:2f:2f:81:26 is connected,show ethernet-switching table | match <mac-address>,"Use the following command in the operational mode:
show ethernet-switching table | match ac:b9:2f:2f:81:26"
How to find the interface to which a specific MAC address is connected,show ethernet-switching table | match <mac-address>,"Use the following command in the operational mode:
show ethernet-switching table |match <mac-address>"
How to find the interface to which a device is connected,show ethernet-switching table | match <mac-address>,"Use the following command in the operational mode:
show ethernet-switching table |match <mac-address>"
display MAC address information of the switch ports,show ethernet-switching table,"Use the following command in the operational mode:
show ethernet-switching table"
show the mac information of the interface ge-0/0/2,show ethernet-switching table interface <interface-name>,"Use the following command in the operational mode:
show ethernet-switching table interface ge-0/0/2"
show the ethernet switching table,show ethernet-switching table,"Use the following command in the operational mode:
show ethernet-switching table"
Displays the event log of learned MAC addresses,show ethernet-switching mac-learning-log,"Use the following command in the operational mode:
show ethernet-switching mac-learning-log"
Show MAC address learning log,show ethernet-switching mac-learning-log,"Use the following command in the operational mode:
show ethernet-switching mac-learning-log"
Show media access control learning statistics,show ethernet-switching statistics mac-learning,"Use the following command in the operational mode:
show ethernet-switching statistics mac-learning"
Show MAC learning statistics,show ethernet-switching statistics mac-learning,"Use the following command in the operational mode:
show ethernet-switching statistics mac-learning"
Display MAC learning statistics for all interfaces,show ethernet-switching statistics mac-learning,"Use the following command in the operational mode:
show ethernet-switching statistics mac-learning"
display overview of OSPF information,show ospf overview,"Use the following command in the operational mode:
show ospf overview"
Display Open Shortest Path First (OSPF) overview information,show ospf overview,"Use the following command in the operational mode:
show ospf overview"
Show OSPF link-state database,show ospf database,"Use the following command in the operational mode:
show ospf database"
Display the entries in the OSPF link-state database,show ospf database,"Use the following command in the operational mode:
show ospf database"
show information about entries in the OSPFv2 link-state database for all routing instances,show ospf database,"Use the following command in the operational mode:
show ospf database"
Show OSPF neighbor status information,show ospf neighbor,"Use the following command in the operational mode:
show ospf neighbor"
display OSPF neighbor status,show ospf neighbor,"Use the following command in the operational mode:
show ospf neighbor"
Display information about OSPF neighbors,show ospf neighbor,"Use the following command in the operational mode:
show ospf neighbor"
Show OSPF routing table,show ospf route,"Use the following command in the operational mode:
show ospf route"
display OSPF routing table,show ospf route,"Use the following command in the operational mode:
show ospf route"
Show shortest-path-first calculations of OSPF,show ospf log,"Use the following command in the operational mode:
show ospf log"
Display the OSPF log of Shortes Path First calculations,show ospf log,"Use the following command in the operational mode:
show ospf log"
Show OSPF interface status information,show ospf interface,"Use the following command in the operational mode:
show ospf interface"
Display the status of OSPF interfacs,show ospf interface,"Use the following command in the operational mode:
show ospf interface"
configure interface ge-0/0/5 to be part of ospf area 0 in the passive mode,set protocols ospf area <ospf-area> interface <interface-name> passive,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.0 interface ge-0/0/5 passive
commit"
configure interface ge-0/0/7 to be part of ospf area 0 in the passive mode,set protocols ospf area <ospf-area> interface <interface-name> passive,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.0 interface ge-0/0/7 passive
commit"
how to configure ospf on a point-to-point interface,set protocols ospf area <ospf-area> interface <interface-name> interface-type p2p,"Use the following command in the configuration mode:
set protocols ospf area <ospf-area> interface <interface-name> interface-type p2p
commit"
configure OSPF protocol of area 0.0.0.1 on interface ge-0/0/15 as point to point ,set protocols ospf area <ospf-area> interface <interface-name> interface-type p2p,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.1 interface ge-0/0/15 interface-type p2p
commit"
set the interface ge-0/0/5 as point to point in the OSPF area 0.0.0.0 ,set protocols ospf area <ospf-area> interface <interface-name> interface-type p2p,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.0 interface ge-0/0/5 interface-type p2p
commit"
set ospf hello interval on interface ge-0/0/15 to 4,set protocols ospf area <area-number> interface <interface-name> hello-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area <area-number> interface ge-0/0/15 hello-interval 4
commit"
how to configure ospf hello interval,set protocols ospf area <area-number> interface <interface-name> hello-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area <area-number> interface <interface-name> hello-interval <interval>
commit"
set ospf hello interval of area 0.0.0.1 on interface ge-0/0/15 to 2,set protocols ospf area <area-number> interface <interface-name> hello-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.1 interface ge-0/0/15 hello-interval 2
commit"
configure OSPF dead interval,set protocols ospf area <area-number> interface <interface-name> dead-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area <area-number> interface <interface-name> dead-interval <interval>
commit"
configure OSPF with dead interval equal to 8,set protocols ospf area <area-number> interface <interface-name> dead-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area <area-number> interface <interface-name> dead-interval 8
commit"
set the OSPF dead interval of area 0.0.0.1 to 8,set protocols ospf area <area-number> interface <interface-name> dead-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.1 interface <interface-name> dead-interval 8
commit"
set the OSPF dead interval of area 0.0.0.1 on the interface ge-0/0/2 to 8,set protocols ospf area <area-number> interface <interface-name> dead-interval <interval>,"Use the following command in the configuration mode:
set protocols ospf area 0.0.0.1 interface ge-0/0/2 dead-interval 8
commit"
disable the OSPF protocol,set protocols ospf disable,"Use the following command in the configuration mode:
set protocols ospf disable
commit"
how to disable the OSPF protocol,set protocols ospf disable,"Use the following command in the configuration mode:
set protocols ospf disable
commit"
set up the configuration required on port ge-0/0/10 to connect it to a IP phone,"set interfaces <interface-name> unit 0 family ethernet-switching vlan members <vlan-name>
set interfaces <interface-name> unit <unit-number> family ethernet-switching port-mode access
set ethernet-switching-options voip interface <interface-name> vlan <vlan-name>","Use the following commands in the configuration mode:
set interfaces ge-0/0/10 unit 0 family ethernet-switching vlan members DATA-VLAN
set interfaces ge-0/0/10 unit 0 family ethernet-switching port-mode access
set ethernet-switching-options voip interface ge-0/0/10 vlan voice-vlan
set voip interface ge-0/0/10 forwarding-class assured-forwarding
commit"
set the voip feature on port ge-0/0/11 given the voice vlan is VOICE,set ethernet-switching-options voip interface <interface-name> vlan <vlan-name>,"Use the following command in the configuration mode:
set ethernet-switching-options voip interface ge-0/0/11 vlan VOICE
commit"
how to set the voip feature for an interface,set ethernet-switching-options voip interface <interface-name> vlan <vlan-name>,"Use the following command in the configuration mode:
set ethernet-switching-options voip interface <interface-name> vlan <vlan-name>
commit"
Show VLAN information,show vlans,"Use the following command in the operational mode:
show vlans"
show the configured VLANS the corresponding ports membership information,show vlans,"Use the following command in the operational mode:
show vlans"
Show information about the configured VLANs,show vlans,"Use the following command in the operational mode:
show vlans"
display the configured VLANS and the active ports in each VLAN,show vlans,"Use the following command in the operational mode:
show vlans"
display dhcp snooping binding database,show dhcp snooping binding,"Use the following command in the operational mode:
show dhcp snooping binding"
display dhcp snooping binding for interface ge-1/0/2,show dhcp snooping binding | match <interface-name>,"Use the following command in the operational mode:
show dhcp snooping binding | match ge-1/0/2"
display the MAC-IP binding on the interfaces,show dhcp snooping binding,"Use the following command in the operational mode shows the MAC-IP binding:
show dhcp snooping binding"
Show the IP addresses connected to interface ge-0/0/22,show dhcp snooping binding | match <interface-name>,"Use the following command in the operational mode:
show dhcp snooping binding | match ge-0/0/22"
create a link aggregation composed of interfaces ge-0/0/0 and ge-1/0/0 in active mode and with link speed of 1G and fast periodic transmission of LACP packets,"set interfaces <interface-name> ether-options 802.3ad ae0
 set interfaces <interface-name> ether-options 802.3ad ae0
 set interfaces ae0 aggregated-ether-options link-speed <link-speed>
 set interfaces ae0 aggregated-ether-options lacp active
 set interfaces ae0 aggregated-ether-options lacp periodic fast","Use the following command in the configuration mode:
set interfaces ge-0/0/0 ether-options 802.3ad ae0
 set interfaces ge-1/0/0 ether-options 802.3ad ae0
 set interfaces ae0 aggregated-ether-options link-speed 1g
 set interfaces ae0 aggregated-ether-options lacp active
 set interfaces ae0 aggregated-ether-options lacp periodic fast
commit"
disable interface ge-0/0/4,set interfaces <interface-name> disable,"Use the following command in the configuration mode:
set interfaces ge-0/0/4 disable
commit"
disable interface ge-2/0/14,set interfaces <interface-name> disable,"Use the following command in the configuration mode:
set interfaces ge-2/0/14 disable
commit"
how to disable an interface,set interfaces <interface-name> disable,"Use the following command in the configuration mode:
set interfaces <interface-name> disable
commit"
how to enable a disabled interface,delete interfaces <interface-name> disable,"Use the following command in the configuration mode:
delete interfaces <interface-name> disable
commit"
enable interface ge-1/0/3,delete interfaces <interface-name> disable,"Use the following command in the configuration mode:
delete interfaces ge-1/0/3 disable
commit"
show POE system information ,show poe controller,"Use the following command in the operational mode:
show poe controller"
check the PoE power budget and consumption for the switch,show poe controller,"Use the following command in the operational mode:
show poe controller"
Determine the current PoE power consumption on the switch,show poe controller,"Use the following command in the operational mode:
show poe controller"
show the power consumption of all interfaces,show poe interface,"Use the following command in the operational mode:
show poe interface"
show the power consumption of interface ge-0/0/10,show poe interface <interface-name>,"Use the following command in the operational mode:
show poe interface ge-0/0/10"
how to check the power consumption of an interface,show poe interface <interface-name>,"Use the following command in the operational mode:
show poe interface <interface-name>"
check the maximum power provided by the interface,show poe interface,"Use the following command in the operational mode:
show poe interface"
show all records of poe telemetry of interface ge-0/0/1,show poe telemetries interface <interface-name> count all,"Use the following command in the operational mode:
show poe telemetries interface ge-0/0/1 count all"
how to display all records of poe telemetry of a specific interface,show poe telemetries interface <interface-name> count all,"Use the following command in the operational mode:
show poe telemetries interface <interface-name> count all"
show 2 records of POE telemetry of all interfaces,show poe telemetries interface all count <num-of-records>,"Use the following command in the operational mode:
show poe telemetries interface all count 2"
how to display a specific number of POE telemetry records of an interfaces,show poe telemetries interface <interface-name>  count <num-of-records>,"Use the following command in the operational mode:
show poe telemetries interface <interface-name> count <num-of-records>"
collect power consumptions on interface ge-0/0/5 every 10 minutes,set poe interface <interface-name> telemetries interval <interval>,"Use the following command in the configuration mode:
set poe interface ge-0/0/5 telemetries interval 10
commit"
how to modify the interval for logging telemetries per-port power consumption,set poe interface <interface-name> telemetries interval <interval>,"Use the following command in the configuration mode:
set poe interface <interface-name> telemetries interval <interval>
commit"
enable poe telemetry on all interfaces,set poe interface all telemetries interval <interval>,"Use the following command in the configuration mode:
set poe interface all telemetries interval <interval>
commit"
set the poe priority of interface ge-0/0/7 to high,set poe interface <interface-name> priority high,"Use the following command in the configuration mode:
set poe interface ge-0/0/7 priority high
commit"
how to set the poe priority of interface,set poe interface <interface-name> priority <high/low>,"Use the following command in the configuration mode:
set poe interface <interface-name> priority <high/low>
commit"
set the poe priority of interface ge-0/0/6 to low,set poe interface <interface-name> priority low,"Use the following command in the configuration mode:
set poe interface ge-0/0/6 priority low
commit"
display information about all interfaces participating in spanning tree protocols,show spanning-tree interface,"Use the following command in the operational mode:
show spanning-tree interface"
how to verify spanning tree interface information,show spanning-tree interface,"Use the following command in the operational mode:
show spanning-tree interface"
Display interface-level spanning-tree protocol parameters,show spanning-tree interface,"Use the following command in the operational mode:
show spanning-tree interface"
show the spanning-tree parameters of interface ge-0/0/0,show spanning-tree interface <interface-name>,"Use the following command in the operational mode:
show spanning-tree interface ge-0/0/0"
how to check the spanning-tree parameters of an interface,show spanning-tree interface <interface-name>,"Use the following command in the operational mode:
show spanning-tree interface <interface-name>"
show the blocked ports by spanning tree protocols,show spanning-tree interface | match BLK,"Use the following command in the operational mode:
 show spanning-tree interface | match BLK"
show the ports blocked by RSTP,show spanning-tree interface | match BLK,"Use the following command in the operational mode:
 show spanning-tree interface | match BLK"
How to find the root interface of the active spanning tree protocol,show spanning-tree interface | match root,"Use the following command in the operational mode:
 show spanning-tree interface | match root"
show spanning-tree statistics of interface ge-0/0/10,show spanning-tree statistics interface <interface-name>,"Use the following command in the operational mode:
show spanning-tree statistics interface ge-0/0/10"
how to display the spanning-tree statistics of an interface,show spanning-tree statistics interface <interface-name>,"Use the following command in the operational mode:
show spanning-tree statistics interface <interface-name>"
show spanning-tree statistics,show spanning-tree statistics,"Use the following command in the operational mode:
show spanning-tree statistics"
Show STP bridge parameters,show spanning-tree bridge,"Use the following command in the operational mode:
show spanning-tree bridge"
Display the configured and calculated parameters of the active spanning tree protocol,show spanning-tree bridge,"Use the following command in the operational mode:
show spanning-tree bridge"
How to verify spanning tree root bridge parameters,show spanning-tree bridge,"Use the following command in the operational mode:
show spanning-tree bridge"
Show Multiple Spanning Tree Protocol (MSTP) information,show spanning-tree mstp configuration,"Use the following command in the operational mode:
show spanning-tree mstp configuration"
Show known autonomous system paths,show as-path,"Use the following command in the operational mode:
show as-path"
Show autonomous-system domains,show as-path domain,"Use the following command in the operational mode:
 show as-path domain"
Show command-line interface settings,show cli,"Use the following command in the operational mode:
show cli"
Display ARP inspection statistics,show arp inspection statistics,"Use the following command in the operational mode:
show arp inspection statistics"
Show contents of log file,show log,"Use the following command in the operational mode:
 show log"
Show users currently editing configuration,status,"Use the following command in the configuration mode:
status"
who is currently editing the configuration,status,"Use the following command in the configuration mode:
status"
save the current configuration to the file conf.txt,save <file-name>,"Use the following command in the configuration mode:
save conf.txt"
How to save the current device configurations to a file,save <file-name>,"Use the following command in the configuration mode:
save <file-name>"
save the current configuration to the file backup.txt,save <file-name>,"Use the following command in the configuration mode:
save backup.txt"
display the system alarms,show system alarms,"Use the following command in the operational mode:
 show system alarms"
show the system current active alarms,show system alarms,"Use the following command in the operational mode:
 show system alarms"
display loaded JUNOS extensions,show system software,"Use the following command in the operational mode:
 show system software"
Show information about all loaded JUNOS extensions,show system software,"Use the following command in the operational mode:
show system software"
Display information of all Flexible PIC Concentrators (FPCs) and PICs installed in the router or switch chassis,show chassis hardware,"Use the following command in the operational mode:
show chassis hardware"
Display a list of all Flexible PIC Concentrators (FPCs) and PICs installed in the EX3300 switch chassis,show chassis hardware,"Use the following command in the operational mode:
show chassis hardware"
Display detailed information of all FPCs and PICs installed in the EX3300 switch chassis,show chassis hardware,"Use the following command in the operational mode:
show chassis hardware"
