business name,business type,business arrival time ,business end time,business duration,business load volume,names of devices passed by the business,network resources consumed by each device,network functions required for business transmission,various performance requirements of the business
gaming,digital content provision,2022100201,2022101322,1025406000,1491,"Wireless network, transmission network, core network, application server",0.0036%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 46.2ms
online education,online service,2023110814,2023111801,820288000,1491,"Wireless network, transmission network, core network, application server",0.0035%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.91%
VoIP,communication service,2023052218,2023053116,769509000,2704,"Wireless network, transmission network, core network, application server",0.0936%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.97%, Latency < 28.8ms"
online education,online service,2023042102,2023050402,1125373000,678,"Wireless network, transmission network, core network, application server",0.0239%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 83.2ms
VR/AR,network service,2023051623,2023052720,942058000,1876,"Wireless network, transmission network, core network, application server",0.0265%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 3.2ms, Packet Loss Rate < 0.32%"
VR/AR,network service,2022040119,2022040417,252543000,1197,"Wireless network, transmission network, core network, application server",0.0374%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 30.7ms
streaming media service,online service,2023101114,2023102122,892753000,734,"Wireless network, transmission network, core network, application server",0.0244%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 19.3ms, Jitter < 42.2ms"
VR/AR,network service,2023021914,2023022216,265836000,1439,"Wireless network, transmission network, core network, application server",0.0396%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 270Mbps, Packet Loss Rate < 0.53%, Latency < 47.5ms"
LISTSERV,communication service,2023111310,2023111609,254425000,1184,"Wireless network, transmission network, core network, application server",0.0363%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 7.4ms, Bandwidth > 610Mbps, Jitter < 13.7ms"
video conferencing,communication service,2023070209,2023071207,858873000,627,"Wireless network, transmission network, core network, application server",0.0183%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 660Mbps, Jitter < 28.8ms, Packet Loss Rate < 0.92%"
streaming media service,online service,2023062208,2023062900,575855000,1216,"Wireless network, transmission network, core network, application server",0.0200%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.87%, Latency < 24.6ms, Jitter < 21.0ms"
VoIP,communication service,2023040300,2023041021,678077000,1419,"Wireless network, transmission network, core network, application server",0.0231%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 1.3ms
online education,online service,2023010204,2023011204,862526000,1217,"Wireless network, transmission network, core network, application server",0.0308%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 1.2ms, Packet Loss Rate < 0.73%"
online transactions,network service,2022032017,2022032801,632637000,665,"Wireless network, transmission network, core network, application server",0.0282%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 29.5ms, Packet Loss Rate < 0.20%"
Internet Relay Chat (IRC),communication service,2021121223,2021121411,132670000,697,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 670Mbps
LISTSERV,communication service,2022032123,2022032202,9917000,1118,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.22%
Internet Relay Chat (IRC),communication service,2023090306,2023090417,123275000,372,"Wireless network, transmission network, core network, application server",0.0274%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 71.2ms
video conferencing,communication service,2023082903,2023082915,42150000,2307,"Wireless network, transmission network, core network, application server",0.0183%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 96.4ms, Bandwidth > 730Mbps, Latency < 17.8ms"
streaming media service,online service,2022081108,2022081312,187263000,29968,"Wireless network, transmission network, core network, application server",0.1338%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 88.1ms
online education,online service,2023050107,2023051019,822580000,1298,"Wireless network, transmission network, core network, application server",0.0279%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.41%, Bandwidth > 280Mbps, Latency < 27.2ms"
email,communication service,2022072210,2022080105,845740000,32096,"Wireless network, transmission network, core network, application server",0.1916%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 1.2ms, Jitter < 82.0ms"
video conferencing,communication service,2023032101,2023032217,142598000,1157,"Wireless network, transmission network, core network, application server",0.0177%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.85%
streaming media service,online service,2023071101,2023072214,995392000,1793,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.24%, Jitter < 53.3ms"
Internet Relay Chat (IRC),communication service,2022072417,2022080614,1110807000,782,"Wireless network, transmission network, core network, application server",0.0175%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.90%, Jitter < 13.1ms"
streaming media service,online service,2022021915,2022022519,533933000,746,"Wireless network, transmission network, core network, application server",0.0007%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 81.8ms, Latency < 33.8ms, Packet Loss Rate < 0.86%"
Internet Relay Chat (IRC),communication service,2023042417,2023042523,105993000,3762,"Wireless network, transmission network, core network, application server",0.1188%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.86%
online transactions,network service,2022091220,2022091702,364303000,351,"Wireless network, transmission network, core network, application server",0.0308%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 35.5ms
streaming media service,online service,2023091821,2023093008,991594000,4733,"Wireless network, transmission network, core network, application server",0.0922%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 100Mbps, Jitter < 78.1ms, Latency < 47.2ms"
email,communication service,2023102501,2023110106,622704000,6803,"Wireless network, transmission network, core network, application server",0.0103%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 52.3ms, Bandwidth > 280Mbps"
online education,online service,2022021911,2022022408,418920000,4800,"Wireless network, transmission network, core network, application server",0.0098%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 22.1ms
gaming,digital content provision,2023031512,2023032614,958759000,4904,"Wireless network, transmission network, core network, application server",0.0080%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 6.1ms, Packet Loss Rate < 0.68%, Bandwidth > 950Mbps"
VR/AR,network service,2022070410,2022070914,446900000,1651,"Wireless network, transmission network, core network, application server",0.0040%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 390Mbps, Jitter < 6.7ms"
email,communication service,2023091118,2023091823,621959000,7583,"Wireless network, transmission network, core network, application server",0.0091%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.13%
gaming,digital content provision,2022091801,2022092702,781470000,763,"Wireless network, transmission network, core network, application server",0.0457%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.45%
email,communication service,2023011904,2023012806,781849000,11664,"Wireless network, transmission network, core network, application server",0.1487%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 32.1ms
online education,online service,2023102908,2023110920,991917000,4621,"Wireless network, transmission network, core network, application server",0.0023%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.95%, Jitter < 60.4ms"
video conferencing,communication service,2023102009,2023103117,980390000,1745,"Wireless network, transmission network, core network, application server",0.0009%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 9.3ms, Jitter < 58.1ms, Packet Loss Rate < 0.66%"
digital publishing,digital content provision,2022042115,2022043003,731932000,469,"Wireless network, transmission network, core network, application server",0.0209%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 10.6ms, Packet Loss Rate < 0.79%"
video conferencing,communication service,2022082813,2022090709,848415000,1499,"Wireless network, transmission network, core network, application server",0.0036%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.91%
email,communication service,2023110615,2023110615,128000,1887,"Wireless network, transmission network, core network, application server",0.0064%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 53.4ms, Packet Loss Rate < 0.99%, Bandwidth > 950Mbps"
online education,online service,2023031215,2023032604,1170562000,1829,"Wireless network, transmission network, core network, application server",0.0335%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 5.2ms
LISTSERV,communication service,2021121219,2021121703,375075000,2680,"Wireless network, transmission network, core network, application server",0.0082%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 46.0ms, Jitter < 41.8ms"
cloud computing services,online service,2022032219,2022040313,1013344000,547,"Wireless network, transmission network, core network, application server",0.0013%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.09%
digital publishing,digital content provision,2022112421,2022112614,145881000,2517,"Wireless network, transmission network, core network, application server",0.0078%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 48.6ms, Jitter < 32.6ms"
online education,online service,2022042718,2022050213,413488000,1875,"Wireless network, transmission network, core network, application server",0.0053%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.06%, Jitter < 15.8ms, Latency < 49.5ms"
VoIP,communication service,2023040214,2023040617,354185000,4185,"Wireless network, transmission network, core network, application server",0.0099%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 180Mbps, Jitter < 86.4ms, Latency < 33.8ms"
gaming,digital content provision,2023052422,2023052913,397834000,2868,"Wireless network, transmission network, core network, application server",0.0014%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 760Mbps, Packet Loss Rate < 0.57%, Latency < 26.3ms"
streaming media service,online service,2022052009,2022060408,1294688000,1937,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 48.2ms
video conferencing,communication service,2022071122,2022072420,1114983000,1980,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 4.9ms, Latency < 34.7ms"
gaming,digital content provision,2022032203,2022032318,140743000,1164,"Wireless network, transmission network, core network, application server",0.0277%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 21.3ms, Packet Loss Rate < 0.51%"
VoIP,communication service,2023010315,2023010516,174069000,13910,"Wireless network, transmission network, core network, application server",0.1398%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 25.7ms, Jitter < 24.1ms, Packet Loss Rate < 0.68%"
cloud computing services,online service,2022022403,2022030321,669835000,10213,"Wireless network, transmission network, core network, application server",0.1219%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 100Mbps, Packet Loss Rate < 0.06%"
digital publishing,digital content provision,2023102705,2023110903,1113632000,9417,"Wireless network, transmission network, core network, application server",0.0201%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 960Mbps, Latency < 27.1ms"
Internet Relay Chat (IRC),communication service,2022101409,2022101608,167887000,1553,"Wireless network, transmission network, core network, application server",0.0389%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 800Mbps
digital publishing,digital content provision,2021121710,2021123101,1176463000,681,"Wireless network, transmission network, core network, application server",0.0228%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 11.1ms, Latency < 4.0ms, Packet Loss Rate < 0.93%"
online education,online service,2023081501,2023081722,248450000,1208,"Wireless network, transmission network, core network, application server",0.0023%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 29.8ms, Bandwidth > 120Mbps, Latency < 21.9ms"
gaming,digital content provision,2021122215,2021122602,301244000,628,"Wireless network, transmission network, core network, application server",0.0371%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 74.1ms, Latency < 42.7ms"
LISTSERV,communication service,2023081310,2023082303,836674000,628,"Wireless network, transmission network, core network, application server",0.0333%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 16.6ms
online transactions,network service,2023012312,2023013021,639538000,478,"Wireless network, transmission network, core network, application server",0.0075%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 1.1ms, Jitter < 64.8ms, Bandwidth > 520Mbps"
VR/AR,network service,2023042120,2023042605,376958000,769,"Wireless network, transmission network, core network, application server",0.0460%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 390Mbps, Latency < 3.8ms, Packet Loss Rate < 0.54%"
Internet Relay Chat (IRC),communication service,2022120605,2022120812,197673000,784,"Wireless network, transmission network, core network, application server",0.0511%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.53%
video conferencing,communication service,2023032821,2023033101,184037000,1246,"Wireless network, transmission network, core network, application server",0.0341%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 4.3ms
digital publishing,digital content provision,2023031015,2023031621,541832000,689,"Wireless network, transmission network, core network, application server",0.0182%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.40%, Latency < 25.4ms"
cloud computing services,online service,2022012923,2022020322,426914000,3198,"Wireless network, transmission network, core network, application server",0.4171%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 31.4ms, Latency < 47.5ms, Bandwidth > 620Mbps"
video conferencing,communication service,2022052319,2022052909,483615000,1888,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 23.3ms, Jitter < 35.7ms"
e-commerce,network service,2022081310,2022081514,186055000,488,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.43%, Latency < 5.7ms"
streaming media service,online service,2022020911,2022021401,396886000,793,"Wireless network, transmission network, core network, application server",0.0235%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 670Mbps
gaming,digital content provision,2021122411,2022010119,723290000,817,"Wireless network, transmission network, core network, application server",0.0068%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.11%
video conferencing,communication service,2022070310,2022071701,1175330000,697,"Wireless network, transmission network, core network, application server",0.0065%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 83.6ms, Packet Loss Rate < 0.44%, Latency < 28.8ms"
online transactions,network service,2023090321,2023091205,721274000,1219,"Wireless network, transmission network, core network, application server",0.0115%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 980Mbps, Latency < 34.1ms"
online education,online service,2021123112,2022011012,864425000,1378,"Wireless network, transmission network, core network, application server",0.0135%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 43.8ms
digital publishing,digital content provision,2021122805,2022010115,381809000,2278,"Wireless network, transmission network, core network, application server",0.0990%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.52%
web browsing,network service,2022033104,2022041108,965578000,15748,"Wireless network, transmission network, core network, application server",0.0926%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 150Mbps, Latency < 45.9ms"
streaming media service,online service,2023062211,2023063003,663800000,1250,"Wireless network, transmission network, core network, application server",0.0300%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 41.0ms
VR/AR,network service,2022072206,2022080303,1024490000,367625,"Wireless network, transmission network, core network, application server",2.1104%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 3.9ms, Bandwidth > 490Mbps"
gaming,digital content provision,2022051213,2022051718,449055000,1374,"Wireless network, transmission network, core network, application server",0.0140%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.72%, Bandwidth > 250Mbps"
email,communication service,2023081704,2023082605,782179000,638,"Wireless network, transmission network, core network, application server",0.0086%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 28.7ms
gaming,digital content provision,2023102912,2023111303,1264350000,753,"Wireless network, transmission network, core network, application server",0.0118%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 34.1ms
gaming,digital content provision,2023112115,2023112916,692380000,1251,"Wireless network, transmission network, core network, application server",0.0231%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 280Mbps, Latency < 32.2ms, Packet Loss Rate < 0.28%"
VR/AR,network service,2022042204,2022050419,1092491000,1252,"Wireless network, transmission network, core network, application server",0.0168%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 500Mbps, Jitter < 83.3ms"
cloud computing services,online service,2023021923,2023022812,739550000,2565,"Wireless network, transmission network, core network, application server",0.0017%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 6.2ms
digital publishing,digital content provision,2021121613,2021121715,92876000,14336,"Wireless network, transmission network, core network, application server",0.0656%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.10%, Latency < 41.8ms"
e-commerce,network service,2023092808,2023100223,401203000,753,"Wireless network, transmission network, core network, application server",0.0191%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.47%
web browsing,network service,2023080404,2023081509,971624000,2737,"Wireless network, transmission network, core network, application server",0.0035%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 41.9ms
VR/AR,network service,2022122423,2022123021,508805000,48108,"Wireless network, transmission network, core network, application server",0.1082%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.10%
LISTSERV,communication service,2022110609,2022110715,110119000,594,"Wireless network, transmission network, core network, application server",0.0185%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 410Mbps, Latency < 19.0ms, Packet Loss Rate < 0.15%"
VR/AR,network service,2022060310,2022061201,747574000,643,"Wireless network, transmission network, core network, application server",0.0210%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 940Mbps
video conferencing,communication service,2023042502,2023050902,1211533000,910,"Wireless network, transmission network, core network, application server",0.0454%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 940Mbps, Jitter < 85.7ms"
LISTSERV,communication service,2023102205,2023110317,1081331000,21374,"Wireless network, transmission network, core network, application server",0.2196%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 29.5ms
VoIP,communication service,2023040309,2023040519,207556000,1116,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.32%, Bandwidth > 530Mbps"
e-commerce,network service,2022042110,2022050309,1033028000,554,"Wireless network, transmission network, core network, application server",0.0332%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.63%
digital publishing,digital content provision,2021123100,2022010406,366338000,545,"Wireless network, transmission network, core network, application server",0.0315%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 150Mbps, Jitter < 36.7ms"
online education,online service,2022061617,2022063003,1158674000,571,"Wireless network, transmission network, core network, application server",0.0326%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 160Mbps, Latency < 39.4ms"
VoIP,communication service,2022052006,2022052806,691364000,645,"Wireless network, transmission network, core network, application server",0.0361%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.64%, Jitter < 11.8ms, Latency < 44.0ms"
LISTSERV,communication service,2022083019,2022090221,266837000,548,"Wireless network, transmission network, core network, application server",0.0313%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.40%
online education,online service,2022051113,2022052301,991147000,583,"Wireless network, transmission network, core network, application server",0.0326%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 86.7ms
streaming media service,online service,2023051814,2023052513,601631000,553,"Wireless network, transmission network, core network, application server",0.0316%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.43%, Bandwidth > 410Mbps, Jitter < 16.8ms"
Internet Relay Chat (IRC),communication service,2023100323,2023101223,775004000,607,"Wireless network, transmission network, core network, application server",0.0182%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.81%
digital publishing,digital content provision,2023062705,2023062902,161905000,820,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 59.5ms, Latency < 19.2ms"
streaming media service,online service,2022021918,2022022410,399834000,1708,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 83.2ms, Packet Loss Rate < 0.45%, Bandwidth > 870Mbps"
LISTSERV,communication service,2023092119,2023092223,101777000,583,"Wireless network, transmission network, core network, application server",0.0262%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 21.3ms
online transactions,network service,2023100623,2023101013,308795000,594,"Wireless network, transmission network, core network, application server",0.0256%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 650Mbps, Jitter < 33.8ms"
Internet Relay Chat (IRC),communication service,2022010422,2022011018,503598000,605,"Wireless network, transmission network, core network, application server",0.0261%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 610Mbps
gaming,digital content provision,2022071812,2022072510,597702000,553,"Wireless network, transmission network, core network, application server",0.0199%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 15.1ms, Latency < 23.2ms"
online education,online service,2022012111,2022012209,76781000,607,"Wireless network, transmission network, core network, application server",0.0268%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 63.9ms, Packet Loss Rate < 0.95%, Latency < 46.7ms"
web browsing,network service,2023101902,2023103008,972067000,571,"Wireless network, transmission network, core network, application server",0.0246%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 5.6ms, Bandwidth > 270Mbps, Latency < 41.9ms"
online education,online service,2023113012,2023120716,620330000,585,"Wireless network, transmission network, core network, application server",0.0252%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.19%
digital publishing,digital content provision,2023072705,2023080407,698617000,1605,"Wireless network, transmission network, core network, application server",0.0763%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 59.3ms
gaming,digital content provision,2023040211,2023041220,897315000,1125,"Wireless network, transmission network, core network, application server",0.0511%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.90%, Jitter < 73.0ms"
VR/AR,network service,2023011402,2023011405,10614000,1085,"Wireless network, transmission network, core network, application server",0.0575%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 30.2ms
e-commerce,network service,2023032611,2023032618,25532000,480,"Wireless network, transmission network, core network, application server",0.0135%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 190Mbps, Jitter < 76.1ms, Packet Loss Rate < 0.43%"
online education,online service,2023011820,2023012116,246419000,809,"Wireless network, transmission network, core network, application server",0.0273%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 16.6ms, Jitter < 12.1ms, Packet Loss Rate < 0.57%"
LISTSERV,communication service,2023053114,2023061003,824383000,1364,"Wireless network, transmission network, core network, application server",0.0227%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 860Mbps, Latency < 27.9ms, Packet Loss Rate < 0.54%"
digital publishing,digital content provision,2023092211,2023092222,39263000,905,"Wireless network, transmission network, core network, application server",0.0160%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 440Mbps, Packet Loss Rate < 0.04%, Jitter < 44.6ms"
Internet Relay Chat (IRC),communication service,2022051116,2022052516,1210145000,2035,"Wireless network, transmission network, core network, application server",0.0531%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.17%
cloud computing services,online service,2022120222,2022121709,1249373000,578,"Wireless network, transmission network, core network, application server",0.0145%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 81.8ms, Latency < 4.1ms, Bandwidth > 320Mbps"
streaming media service,online service,2023062718,2023070520,697908000,7902,"Wireless network, transmission network, core network, application server",0.0064%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 45.1ms, Packet Loss Rate < 0.48%"
web browsing,network service,2022092307,2022092620,306710000,2080,"Wireless network, transmission network, core network, application server",0.0740%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 790Mbps
video conferencing,communication service,2023033109,2023040915,797823000,5359,"Wireless network, transmission network, core network, application server",0.0766%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.04%, Bandwidth > 410Mbps, Latency < 8.0ms"
online education,online service,2022102710,2022110900,1087564000,1773,"Wireless network, transmission network, core network, application server",0.0550%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 89.0ms
cloud computing services,online service,2021122404,2022010417,995679000,850,"Wireless network, transmission network, core network, application server",0.0015%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 990Mbps
LISTSERV,communication service,2022102501,2022102815,310273000,2028,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.16%, Jitter < 73.2ms"
cloud computing services,online service,2022112107,2022112417,294597000,2887,"Wireless network, transmission network, core network, application server",0.0363%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 390Mbps
Internet Relay Chat (IRC),communication service,2023071319,2023072408,913735000,1283,"Wireless network, transmission network, core network, application server",0.0126%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 38.4ms, Bandwidth > 80Mbps, Jitter < 82.7ms"
e-commerce,network service,2022032010,2022040219,1157961000,834,"Wireless network, transmission network, core network, application server",0.0177%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 26.5ms, Packet Loss Rate < 0.86%"
